"inquisit.version","computer.platform","startdate","starttime","subjectid","groupid","sessionid","elapsedtime","completed","lstotalearnings","totalearnings","ballooncount","total_explosions","lstotaltrialexplosions","nonexplodedballoons","totalpumpcount","lstotalpumpcount","averagepumpcount","adjustedtotalpumpcount","adjustedaveragepumpcount"
"6.6.1","mac","2023-09-07","12:20:25","R_1kGINZotrIcPTKh","979721688","1","116769","1","/0/0/0/25/0/25/25/25/50/65","215","10","4","/1/1/1/0/1/0/0/0/0/0","6","78","/15/8/6/5/6/5/5/5/10/13","7.80","43","7.1666666666666669627"
"6.6.1","win","2023-09-07","12:25:55","R_3GuMglArLCrPtKk","979721689","1","47314","1","/85/75/0/20/45/50/0/0/15/35","325","10","3","/0/0/1/0/0/0/1/1/0/0","7","78","/17/15/6/4/9/10/1/6/3/7","7.80","65","9.2857142857142864756"
"6.6.1","win","2023-09-07","12:30:04","R_2sZHgl172OzMak5","979721691","1","71340","1","/105/0/0/65/100/0/100/0/0/0","370","10","5","/0/1/1/0/0/1/0/1/0/1","5","149","/21/25/13/13/20/5/20/15/0/17","14.9000000000000003553","74","14.8000000000000007105"
"6.6.1","win","2023-09-07","12:31:12","R_23TDPmHk6oiOobh","979721690","1","95622","1","/50/65/80/0/0/55/55/0/50/60","415","10","3","/0/0/0/1/1/0/0/1/0/0","7","113","/10/13/16/11/11/11/11/8/10/12","11.30","83","11.8571428571428576504"
"6.6.1","win","2023-09-07","11:43:24","R_O9bJ5X0wsLOuYpP","979721692","1","209390","1","/75/0/0/50/0/55/0/55/0/50","285","10","5","/0/1/1/0/1/0/1/0/1/0","5","112","/15/11/12/10/10/11/16/11/6/10","11.20","57","11.4000000000000003553"
"6.6.1","win","2023-09-07","11:47:59","R_1FLZKw2t1gCx7uC","979721693","1","61850","1","/50/65/0/50/0/50/50/0/50/50","365","10","3","/0/0/1/0/1/0/0/1/0/0","7","92","/10/13/4/10/7/10/10/8/10/10","9.20","73","10.4285714285714288252"
"6.6.1","win","2023-09-07","09:53:04","R_bvKcah6gutsreHn","979721694","1","97913","1","/75/0/85/0/60/70/0/65/0/50","405","10","4","/0/1/0/1/0/0/1/0/1/0","6","143","/15/21/17/11/12/14/16/13/14/10","14.30","81","13.5"
"6.6.1","mac","2023-09-07","12:55:06","R_1rJ0KHAiaikgKXx","979721695","1","96297","1","/130/0/0/0/100/0/0/0/0/100","330","10","7","/0/1/1/1/0/1/1/1/1/0","3","170","/26/31/11/25/20/2/13/12/10/20","0.00","66","22"
"6.6.1","win","2023-09-07","12:04:10","R_33lkCbHVz6wAYm3","979721696","1","98785","1","/25/30/15/30/25/30/35/25/0/50","265","10","1","/0/0/0/0/0/0/0/0/1/0","9","55","/5/6/3/6/5/6/7/5/2/10","5.50","53","5.8888888888888892836"
"6.6.1","win","2023-09-07","13:06:01","R_2QgE7fo8aW6cND7","979721698","1","60714","1","/25/25/25/25/25/25/25/25/25/50","275","10","0","/0/0/0/0/0/0/0/0/0/0","10","55","/5/5/5/5/5/5/5/5/5/10","5.50","55","5.5"
