"inquisit.version","computer.platform","startdate","starttime","subjectid","groupid","sessionid","elapsedtime","completed","exp_condition","releasecondition","weathercondition","maxnr_fishinpond","maxnr_trips","fixedsampling","reward","total_winnings","lstotalearnings","tripcount","successtrip","totalfishingcount","lstotalfishingcount","adj_totalfishingcount","total_suddenends","lstotalend","avg_fishingcount","adjavg_fishingcount","mean_castlatency"
"6.6.1","mac","2023-09-07","12:22:24","R_1kGINZotrIcPTKh","979721688","1","101278","1","2","1","2","32","10","0","5","230","/20/0/25/30/35/0/40/0/40/40","10","7","61","/4/6/5/6/7/1/8/8/8/8","46","3","/0/1/0/0/0/1/0/1/0/0","6.0999999999999996447","6.5714285714285711748","5474.625"
"6.6.1","win","2023-09-07","12:26:44","R_3GuMglArLCrPtKk","979721689","1","50781","1","2","1","2","32","10","0","5","100","/0/0/20/0/15/0/0/15/20/30","10","5","60","/17/6/4/1/3/13/3/3/4/6","20","5","/1/1/0/1/0/1/1/0/0/0","6","4","4526.6666666666669698316"
"6.6.1","win","2023-09-07","12:31:18","R_2sZHgl172OzMak5","979721691","1","66213","1","2","1","2","32","10","0","5","305","/0/0/40/80/0/0/0/45/80/60","10","5","104","/1/10/8/16/4/22/6/9/16/12","61","5","/1/1/0/0/1/1/1/0/0/0","10.4000000000000003553","12.1999999999999992895","2925.3333333333334849158"
"6.6.1","win","2023-09-07","12:32:50","R_23TDPmHk6oiOobh","979721690","1","107189","1","2","1","2","32","10","0","5","310","/0/70/0/85/100/0/55/0/0/0","10","4","149","/21/14/2/17/20/12/11/22/17/13","62","6","/1/0/1/0/0/1/0/1/1/1","14.9000000000000003553","15.5","3892.8461538461538111733"
"6.6.1","win","2023-09-07","11:46:56","R_O9bJ5X0wsLOuYpP","979721692","1","212776","1","2","1","2","32","10","0","5","230","/20/0/65/0/0/0/15/25/50/55","10","6","84","/4/19/13/9/5/5/3/5/10/11","46","4","/0/1/0/1/1/1/0/0/0/0","8.4000000000000003553","7.6666666666666669627","10764.727272727272065822"
"6.6.1","win","2023-09-07","11:49:02","R_1FLZKw2t1gCx7uC","979721693","1","105508","1","2","1","2","32","10","0","5","330","/30/30/45/35/40/40/0/35/35/40","10","9","74","/6/6/9/7/8/8/8/7/7/8","66","1","/0/0/0/0/0/0/1/0/0/0","7.4000000000000003553","7.3333333333333330373","3168.75"
"6.6.1","win","2023-09-07","09:54:44","R_bvKcah6gutsreHn","979721694","1","104633","1","2","1","2","32","10","0","5","195","/20/25/30/30/0/0/20/20/25/25","10","8","43","/4/5/6/6/2/2/4/4/5/5","39","2","/0/0/0/0/1/1/0/0/0/0","4.2999999999999998224","4.875","8875.3999999999996362021"
"6.6.1","mac","2023-09-07","12:56:58","R_1rJ0KHAiaikgKXx","979721695","1","86246","1","2","1","2","32","10","0","5","385","/0/105/0/65/65/0/50/50/50/0","10","6","118","/4/21/17/13/13/10/10/10/10/10","77","4","/1/0/1/0/0/1/0/0/0/1","11.8000000000000007105","12.8333333333333339255","3136.5999999999999090505"
"6.6.1","win","2023-09-07","13:07:03","R_2QgE7fo8aW6cND7","979721698","1","100246","1","2","1","2","32","10","0","5","230","/80/0/40/0/0/20/40/15/0/35","10","6","65","/16/3/8/8/5/4/8/3/3/7","46","4","/0/1/0/1/1/0/0/0/1/0","6.5","7.6666666666666669627","4776.1428571428568830015"
"6.6.1","win","2023-09-07","12:05:51","R_33lkCbHVz6wAYm3","979721696","1","170938","1","2","1","2","32","10","0","5","130","/0/10/15/25/0/0/15/20/20/25","10","7","34","/3/2/3/5/3/2/3/4/4/5","26","3","/1/0/0/0/1/1/0/0/0/0","3.3999999999999999112","3.7142857142857144126","7989.3999999999996362021"
