"inquisit.version","computer.platform","startdate","starttime","subjectid","groupid","sessionid","elapsedtime","completed","exp_condition","releasecondition","weathercondition","maxnr_fishinpond","maxnr_trips","fixedsampling","reward","total_winnings","lstotalearnings","tripcount","successtrip","totalfishingcount","lstotalfishingcount","adj_totalfishingcount","total_suddenends","lstotalend","avg_fishingcount","adjavg_fishingcount","mean_castlatency"
"6.6.1","mac","2023-09-07","12:24:08","R_1kGINZotrIcPTKh","979721688","1","131559","1","1","1","1","32","10","0","5","345","/0/80/0/0/40/40/60/75/0/50","10","6","119","/4/16/22/10/8/8/12/15/14/10","69","4","/1/0/1/1/0/0/0/0/1/0","11.9000000000000003553","11.5","9633.1000000000003637979"
"6.6.1","win","2023-09-07","12:27:36","R_3GuMglArLCrPtKk","979721689","1","70881","1","1","1","1","32","10","0","5","300","/75/0/0/25/45/30/0/55/30/40","10","7","94","/15/20/9/5/9/6/5/11/6/8","60","3","/0/1/1/0/0/0/1/0/0/0","9.4000000000000003553","8.5714285714285711748","5955.625"
"6.6.1","win","2023-09-07","12:32:26","R_2sZHgl172OzMak5","979721691","1","53576","1","1","1","1","32","10","0","5","255","/0/0/85/0/0/0/65/50/55/0","10","4","138","/28/13/17/12/11/17/13/10/11/6","51","6","/1/1/0/1/1/1/0/0/0/1","13.8000000000000007105","12.75","5119.6666666666669698316"
"6.6.1","win","2023-09-07","12:34:40","R_23TDPmHk6oiOobh","979721690","1","86969","1","1","1","1","32","10","0","5","555","/0/100/115/0/110/0/110/120/0/0","10","5","168","/17/20/23/1/22/8/22/24/13/18","111","5","/1/0/0/1/0/1/0/0/1/1","16.8000000000000007105","22.1999999999999992895","2985.6666666666665150842"
"6.6.1","win","2023-09-07","11:50:49","R_1FLZKw2t1gCx7uC","979721693","1","54191","1","1","1","1","32","10","0","5","460","/75/0/55/60/70/75/65/0/0/60","10","7","117","/15/4/11/12/14/15/13/10/11/12","92","3","/0/1/0/0/0/0/0/1/1/0","11.6999999999999992895","13.1428571428571423496","2212.1666666666665150842"
"6.6.1","win","2023-09-07","11:50:32","R_O9bJ5X0wsLOuYpP","979721692","1","133150","1","1","1","1","32","10","0","5","280","/0/65/60/0/0/0/75/80/0/0","10","4","103","/15/13/12/3/5/2/15/16/12/10","56","6","/1/0/0/1/1/1/0/0/1/1","10.3000000000000007105","14","8349.2999999999992724042"
"6.6.1","win","2023-09-07","09:56:30","R_bvKcah6gutsreHn","979721694","1","67168","1","1","1","1","32","10","0","5","295","/35/35/40/40/45/0/40/0/40/20","10","8","70","/7/7/8/8/9/9/8/2/8/4","59","2","/0/0/0/0/0/1/0/1/0/0","7","7.375","8724"
"6.6.1","mac","2023-09-07","12:58:44","R_1rJ0KHAiaikgKXx","979721695","1","48538","1","1","1","1","32","10","0","5","245","/0/0/50/50/0/0/45/0/50/50","10","5","91","/15/3/10/10/6/8/9/10/10/10","49","5","/1/1/0/0/1/1/0/1/0/0","9.0999999999999996447","9.8000000000000007105","2263.6999999999998181011"
"6.6.1","win","2023-09-07","13:08:45","R_2QgE7fo8aW6cND7","979721698","1","94050","1","1","1","1","32","10","0","5","430","/80/60/80/0/40/65/0/50/0/55","10","7","115","/16/12/16/14/8/13/11/10/4/11","86","3","/0/0/0/1/0/0/1/0/1/0","11.5","12.2857142857142864756","4869.8181818181819835445"
"6.6.1","win","2023-09-07","12:08:45","R_33lkCbHVz6wAYm3","979721696","1","146895","1","1","1","1","32","10","0","5","400","/25/25/35/40/40/50/30/50/45/60","10","10","80","/5/5/7/8/8/10/6/10/9/12","80","0","/0/0/0/0/0/0/0/0/0/0","8","8","6287.9166666666669698316"
"6.6.1","win","2023-09-07","10:10:36","R_3nloSUxnqwpQ7g5","979721697","1","129535","1","1","1","1","32","10","0","5","295","/90/0/0/0/30/40/0/35/50/50","10","6","94","/18/13/9/2/6/8/11/7/10/10","59","4","/0/1/1/1/0/0/1/0/0/0","9.4000000000000003553","9.8333333333333339255","5797.3000000000001818989"
